tld,type,punycode,language_code,translation,romanized,rtl,sponsor,registrar,registrar_name,registrar_web,price_new,price_renew,price_transfer,currency,updated_time
abogado,gTLD,,,lawyer,,no,"Registry Services, LLC",spaceship,Spaceship,https://www.spaceship.com/,20.7,20.7,20.7,usd,2024-10-24 10:36:51
abudhabi,gTLD,,,,,no,Abu Dhabi Systems and Information Centre,domgate,domgate,https://domgate.com/,80,80.0,80,eur,2025-01-01 15:01:39
ac,ccTLD,,,,,no,Internet Computer Bureau Limited,spaceship,Spaceship,https://www.spaceship.com/,25.88,25.88,25.88,usd,2024-10-24 10:36:51
academy,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,12.49,26.24,26.24,usd,2025-01-01 14:55:21
accountant,gTLD,,,,,no,dot Accountant Limited,regtons,regtons,https://regtons.com/,17,17.0,17,usd,2025-01-01 15:00:16
accountants,gTLD,,,,,no,"Binky Moon, LLC",onecom,one.com,https://www.one.com/,14.99,14.99,14.99,usd,2025-01-01 14:57:49
actor,gTLD,,,,,no,"Dog Beach, LLC",porkbun,porkbun,https://porkbun.com/,10.79,30.36,30.36,usd,2025-01-01 14:55:21
ad,ccTLD,,,,,no,Andorra Telecom,mrdomain,MrDomain,https://www.mrdomain.com/,19.95,19.95,19.95,eur,2025-01-01 14:56:21
adult,gTLD,,,,,no,ICM Registry AD LLC,regery,Regery,https://regery.com/,79.99,84.69,84.69,usd,2024-09-11 10:54:05
ae,ccTLD,,,,,no,Telecommunications and Digital Government Regulatory Authority (TDRA),regery,Regery,https://regery.com/,31.99,33.99,34.89,usd,2024-09-11 10:54:05
aero,sTLD,,,,,no,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),namesilo,NameSilo,https://www.namesilo.com/,10,10.0,10,usd,2025-01-01 14:49:01
af,ccTLD,,,,,no,Ministry of Communications and IT,domgate,domgate,https://domgate.com/,40,40.0,55,eur,2025-01-01 15:01:39
africa,gTLD,,,,,no,ZA Central Registry NPC trading as Registry.Africa,inwx,INWX,https://www.inwx.com/,8,8.0,28,eur,2025-01-01 14:52:34
ag,ccTLD,,,,,no,UHSA School of Medicine,sav,Sav,https://www.sav.com/,77.88,77.88,77.88,usd,2025-01-01 14:47:32
agency,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,4.61,19.03,19.03,usd,2025-01-01 14:55:21
ai,ccTLD,,,,,no,Government of Anguilla,truehost,Truehost,https://truehost.com/,151.76,63.0,62,usd,2024-10-24 10:35:36
airforce,gTLD,,,,,no,"Dog Beach, LLC",cloudflare,Cloudflare,https://www.cloudflare.com/,25.18,25.18,25.18,usd,2024-11-30 21:56:07
al,ccTLD,,,,,no,Electronic and Postal Communications Authority - AKEP,innovahost,InnovaHost,https://innovahost.net/,5.99,10.99,0,eur,2024-11-15 16:13:17
alsace,gTLD,,,,,no,REGION GRAND EST,netim,netim,https://www.netim.com/,36,36.0,32.18,eur,2025-01-01 14:48:56
am,ccTLD,,,,,no,"""Internet Society"" Non-governmental Organization",quyu,趣域网,https://www.quyu.net/,159,159.0,159,cny,2025-01-01 14:47:38
amsterdam,gTLD,,,,,no,Gemeente Amsterdam,regery,Regery,https://regery.com/,30.99,31.99,30.99,usd,2024-09-11 10:54:05
ao,ccTLD,,,,,no,Ministry of Telecommunications and Information Technologies (MTTI),regery,Regery,https://regery.com/,259.99,259.99,259.99,usd,2024-09-11 10:54:05
apartments,gTLD,,,,,no,"Binky Moon, LLC",dreamhost,DreamHost,https://www.dreamhost.com/,39.95,39.95,39.95,usd,2025-01-01 14:48:20
app,gTLD,,,,,no,Charleston Road Registry Inc.,truehost,Truehost,https://truehost.com/,13.66,13.66,13.76,usd,2024-10-24 10:35:36
aq,ccTLD,,,,,no,Antarctica Network Information Centre Limited,regery,Regery,https://regery.com/,52.99,44.99,44.99,usd,2024-09-11 10:54:05
ar,ccTLD,,,,,no,Presidencia de la Nación – Secretaría Legal y Técnica,regery,Regery,https://regery.com/,46.99,49.99,49.99,usd,2024-09-11 10:54:05
archi,gTLD,,,,,no,Afilias Limited,tencent,腾讯云,https://cloud.tencent.com/,95,450.0,450,cny,2024-11-01 19:20:20
army,gTLD,,,,,no,"Dog Beach, LLC",porkbun,porkbun,https://porkbun.com/,10.79,26.24,26.24,usd,2025-01-01 14:55:21
art,gTLD,,,,,no,UK Creative Ideas Limited,volcengine,火山引擎,https://www.volcengine.com/,88,97.0,97,cny,2025-01-01 14:52:45
as,ccTLD,,,,,no,AS Domain Registry,regery,Regery,https://regery.com/,58.99,58.99,56.99,usd,2024-09-11 10:54:05
asia,sTLD,,,,,no,DotAsia Organisation Ltd.,spaceship,Spaceship,https://www.spaceship.com/,1.86,10.35,10.35,usd,2024-10-24 10:36:51
associates,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,11.82,27.27,27.27,usd,2025-01-01 14:55:21
at,ccTLD,,,,,no,nic.at GmbH,regery,Regery,https://regery.com/,10.59,10.69,1.99,usd,2024-09-11 10:54:05
attorney,gTLD,,,,,no,"Dog Beach, LLC",porkbun,porkbun,https://porkbun.com/,41.69,41.69,41.69,usd,2025-01-01 14:55:21
au,ccTLD,,,,,no,.au Domain Administration (auDA),hexonet,HEXONET,https://hexonet.net/,11.83,11.83,0,usd,2024-12-03 18:48:54
auction,gTLD,,,,,no,"Dog Beach, LLC",porkbun,porkbun,https://porkbun.com/,3.07,24.18,24.18,usd,2025-01-01 14:55:21
audio,gTLD,,,,,no,XYZ.COM LLC,sav,Sav,https://www.sav.com/,103.88,10.47,10.47,usd,2025-01-01 14:47:32
auto,gTLD,,,,,no,XYZ.COM LLC,porkbun,porkbun,https://porkbun.com/,2060.23,2060.84,2060.23,usd,2025-01-01 14:55:21
autos,gTLD,,,,,no,XYZ.COM LLC,cosmotown,Cosmotown,https://www.cosmotown.com/,10.95,11.17,11.17,usd,2024-11-15 16:07:41
aw,ccTLD,,,,,no,SETAR,regery,Regery,https://regery.com/,146.99,146.99,146.99,usd,2024-09-11 10:54:05
ax,ccTLD,,,,,no,Ålands landskapsregering,regery,Regery,https://regery.com/,32.39,32.99,1.99,usd,2024-09-11 10:54:05
az,ccTLD,,,,,no,IntraNS,regery,Regery,https://regery.com/,224.99,229.99,1.99,usd,2024-09-11 10:54:05
ba,ccTLD,,,,,no,Universtiy Telinformatic Centre (UTIC),globalhost,Globalhost,https://www.global.ba/,69,30.0,69,bam,2025-01-01 15:00:57
baby,gTLD,,,,,no,XYZ.COM LLC,cloudflare,Cloudflare,https://www.cloudflare.com/,50.18,50.18,50.18,usd,2024-11-30 21:56:07
band,gTLD,,,,,no,"Dog Beach, LLC",porkbun,porkbun,https://porkbun.com/,15.94,21.09,21.09,usd,2025-01-01 14:55:21
bank,gTLD,,,,,no,"fTLD Registry Services, LLC",regery,Regery,https://regery.com/,739.99,739.99,739.99,usd,2024-09-11 10:54:05
bar,gTLD,,,,,no,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,cloudflare,Cloudflare,https://www.cloudflare.com/,50.18,50.18,50.18,usd,2024-11-30 21:56:07
barcelona,gTLD,,,,,no,Municipi de Barcelona,mrdomain,MrDomain,https://www.mrdomain.com/,22.95,22.95,22.95,eur,2025-01-01 14:56:21
bargains,gTLD,,,,,no,"Binky Moon, LLC",cloudflare,Cloudflare,https://www.cloudflare.com/,23.18,23.18,23.18,usd,2024-11-30 21:56:07
basketball,gTLD,,,,,no,Fédération Internationale de Basketball (FIBA),alldomains,ALLDomains,https://alldomains.hosting/,38,40.0,40,eur,2025-01-01 15:09:44
bayern,gTLD,,,,,no,Bayern Connect GmbH,regery,Regery,https://regery.com/,3.99,28.99,27.99,usd,2024-09-11 10:54:05
bb,ccTLD,,,,,no,"Ministry of Innovation, Science and Smart Technology",quyu,趣域网,https://www.quyu.net/,699,699.0,699,cny,2025-01-01 14:47:38
bd,ccTLD,,,,,no,Posts and Telecommunications Division,gandi,gandi.net,https://www.gandi.net/,90,180.0,90,eur,2025-01-01 15:04:05
be,ccTLD,,,,,no,DNS Belgium vzw/asbl,ovh,OVHcloud,https://www.ovhcloud.com/,5.19,5.19,5.19,eur,2024-09-01 14:41:55
beauty,gTLD,,,,,no,XYZ.COM LLC,cosmotown,Cosmotown,https://www.cosmotown.com/,10.95,11.17,11.17,usd,2024-11-15 16:07:41
beer,gTLD,,,,,no,"Registry Services, LLC",aliyun,阿里云,https://wanwang.aliyun.com/,98,98.0,96,cny,2025-01-01 14:47:23
berlin,gTLD,,,,,no,dotBERLIN GmbH & Co. KG,sav,Sav,https://www.sav.com/,43.03,43.03,n/a,usd,2025-01-01 14:47:32
